sensor,file_name,stripe_count,area_ratio,aspect_ratio,curvature,mean_snr,mean_contrast,norm_spacing
SAR,511.png,1,0.0019905437736178477,35.446176608014135,0.027532607961073187,0.16174493765208983,0.02021533392947899,0.0
SAR,511.png,1,0.03333759338258613,14.577363465930844,0.06859949644904342,0.18430004832343416,0.02913856642383206,0.0
SAR,511.png,1,0.03043426447753461,14.24015088348886,0.07011471236090053,0.15039631651654078,0.02186356812128931,0.0
SAR,511.png,1,0.000319759444119605,85.1887712212995,0.010187292140731665,0.2190069454251874,0.02885883132480793,0.0
SAR,511.png,1,0.00013400186150428622,36.99227403030449,0.019230769230769232,0.3055152182367011,0.03937328118410588,0.0
SAR,362.png,10,0.3255892246422718,2.6062404337394955,0.05754461975778789,0.8748455855590016,0.12176063364323038,0.026178231529201818
SAR,446.png,5,0.20838461012499465,4.503827115027124,0.04165697534155101,0.48103214289563656,0.05737890911464668,0.04674621694376046
SAR,446.png,2,0.009779062926449367,1.6672031305160298,0.05031167519587828,0.26085392729401474,0.03233701438744909,0.051858824060386326
SAR,446.png,1,0.000802933627335703,11.21812399116475,0.08830068819481207,0.1959962769502425,0.0219622241338748,0.0
SAR,446.png,1,0.0029292309142192607,13.166782260047933,0.07039189022128818,0.39508447983727796,0.047567815061274124,0.0
SAR,446.png,1,0.00017808640863897773,43.508571090354664,0.013538461538461537,0.3981460726762037,0.04684260629480975,0.0
SAR,s1a-iw-grd-vv-20180924t114356-20180924t114421-023840-0299f9-001.png,9,0.4199517734278686,2.247286263711256,0.049923117945797055,1.1948341033465342,0.10656118853718087,0.0347090997633756
SAR,s1a-iw-grd-vv-20180924t114356-20180924t114421-023840-0299f9-001.png,1,0.0011223155430830078,35.737241345660195,0.027676724445395536,0.10336167506329147,0.013113036159014801,0.0
SAR,46.png,13,0.491284929851318,2.2912347713321757,0.04974194481379117,0.3201465945509955,0.042106108919876935,0.04058681025909132
SAR,46.png,1,0.0018441707184856104,11.208216188887986,0.08853926363384701,0.6884331629835941,0.08489952829790826,0.0
SAR,46.png,2,0.0048448889629169045,7.174605775746527,0.0338932854042524,0.3867195047948566,0.04889606492198841,0.06425457720267631
SAR,522.png,1,0.08567620691837874,9.894750974575643,0.10106364428945072,0.02582481547657433,0.004443056637287345,0.0
SAR,522.png,1,0.032898902122498797,14.428645178336367,0.0693065726426182,0.07220894949622439,0.011045589173396816,0.0
SAR,s1a-iw-grd-vv-20160522t215630-20160522t215644-011377-01148d-001.png,2,0.009065346172001498,6.550651252209304,0.015425551382157685,0.572323314640188,0.04720523737519372,0.02308894696785525
SAR,s1a-iw-grd-vv-20160522t215630-20160522t215644-011377-01148d-001.png,5,0.07512434597826179,4.515549070696282,0.03477302797293824,0.9635571715478244,0.09309656355981034,0.023167753381250072
SAR,121.png,20,0.42225207717087443,2.7832871024079915,0.055874524168331594,0.9669714167823823,0.1145233617895078,0.029699017900852595
SAR,121.png,1,0.001460208789737516,12.234693939812118,0.0680569630380287,0.8170311781416228,0.11346322254358411,0.0
SAR,121.png,8,0.08750092640129736,8.676737650468766,0.04114872198569791,0.6649570125182468,0.09215264640164536,0.021557310722742418
SAR,121.png,1,0.0011016503608670264,14.612185393469511,0.056992365508670186,0.81935977866496,0.10854301754319613,0.0
SAR,611.png,1,0.027818288972422778,23.954597541807335,0.029605216082156733,0.742159239234648,0.08695444439162067,0.0
SAR,611.png,4,0.12165893220134372,2.961549737121972,0.03403032639794012,0.52522981066403,0.06124132067543811,0.048563711115119125
SAR,611.png,1,0.0003001536071709082,43.23956624689935,0.013299044819985307,0.38220010112365443,0.045643194533415955,0.0
SAR,s1a-iw-grd-vv-20180220t114257-20180220t114322-020690-023709-001.png,14,0.18575623363167537,4.127936319799525,0.04061993784264804,0.684718553038248,0.0744270235239429,0.015074374331854953
SAR,s1a-iw-grd-vv-20180220t114257-20180220t114322-020690-023709-001.png,9,0.09997006937362762,4.081953131487436,0.0353603798741162,0.6936649073154555,0.06161418406809893,0.023066900249108332
SAR,169.png,3,0.036908706563560045,8.633222128281897,0.03474008252193359,0.44058454348995907,0.053978668333264514,0.09446919292900222
SAR,169.png,7,0.30159550979110605,3.7841797246377444,0.05405104620860115,0.6418937963235962,0.08039326428181873,0.05551964450640479
SAR,169.png,1,0.0025953245725674617,17.52873205530352,0.04996544719703474,0.42465729751024656,0.053562182002339816,0.0
SAR,169.png,1,0.0013923989093800673,35.90167406639669,0.027223472852836817,0.6428924536857525,0.07989227050952884,0.0
SAR,169.png,1,0.000839424150381185,27.166612461451887,0.023961861748839547,0.34255924508914953,0.0423534474764045,0.0
SAR,169.png,2,0.009555907766212512,10.412583140565264,0.05158233485673304,0.2740573170759421,0.03740566185812083,0.11342519519275462
SAR,169.png,1,0.0010518053789886905,23.728133606116934,0.040619029423003446,0.48543462355192846,0.06358102612033903,0.0
SAR,169.png,2,0.019960479126656105,2.888812282413306,0.02746161242086256,0.6315058084501455,0.08209957618410715,0.06476319694139221
SAR,169.png,2,0.010193824968145027,4.964822379666155,0.032514717211117344,0.5523979264938477,0.08415363635564632,0.09146047762472588
SAR,169.png,2,0.003578136365880946,4.313978332000322,0.03839552707653622,0.46488282611018383,0.057622080329423814,0.019389072353878937
SAR,169.png,1,0.007064818660117211,4.281045876875867,0.5478479514864665,1.014156093033734,0.27343253815273966,0.0
SAR,361.png,11,0.3100621876203391,3.3733414753654904,0.04884939666696744,1.008992309024672,0.16746010407978562,0.025782489199128247
SAR,361.png,1,0.0006257581176074972,14.642834434081687,0.06786011656952541,1.097011850733463,0.16798219837482656,0.0
SAR,612.png,1,0.08484554601548311,13.412128237971572,0.07455937085423936,0.5623080043071341,0.0695544301694749,0.0
SAR,612.png,1,0.013970882339353174,17.893372636021073,0.05128166005492829,0.42867999504980564,0.05100473801830042,0.0
SAR,612.png,1,0.00019073485996822306,24.999912033430338,0.039999999999999994,0.31007945472716697,0.03698172690759423,0.0
SAR,612.png,1,0.00021167000564148442,27.129444164535965,0.029875518672199168,0.24933133558419956,0.02952233498882618,0.0
SAR,s1a-iw-grd-vv-20190806t214923-20190806t214948-028454-03372e-001.png,1,0.007451955753630557,9.539995474984543,0.10463478435844122,0.7771331395387753,0.071550328933938,0.0
SAR,s1a-iw-grd-vv-20190806t214923-20190806t214948-028454-03372e-001.png,1,0.0006947204573306137,9.918041939223052,0.09979238754325259,0.49923832149615277,0.05327833179242624,0.0
SAR,10.png,2,0.20939160643899868,5.538915437931816,0.0711293546027135,0.916535320172575,0.1246222783262805,0.2366806412480947
SAR,10.png,22,0.27301810095050527,3.1622360819784423,0.057508851681640175,0.720039570572184,0.08550602428067358,0.010956225581039808
