sensor,file_name,stripe_count,area_ratio,aspect_ratio,norm_spacing,mean_curvature,mean_pixel_skew,mean_pixel_kurt,mean_pixel_cv,mean_snr,mean_contrast,mean_grad_mag,mean_entropy,mean_bg_std
SAR,511.png,1,0.0019905437736178477,35.446176608014135,0.0,0.027532607961073187,0.5251475821816118,0.34335776722593137,0.24708912413780595,0.16174504993274486,0.020215346561726112,74.1416182101164,2.496506691351528,21.564503
SAR,511.png,1,0.03333759338258613,14.577363465930844,0.0,0.06859949644904342,0.9037678449557099,1.9218259101755244,0.3238637930909579,0.18430005973900504,0.029138570478291374,51.41558229066381,2.3727453871710793,19.400648
SAR,511.png,1,0.03043426447753461,14.24015088348886,0.0,0.07011471236090053,0.6443617644427175,0.5340571913803545,0.29168631378644416,0.1503963649131566,0.021863572790833667,52.924798594274314,2.2261111236388014,17.598877
SAR,511.png,1,0.000319759444119605,85.1887712212995,0.0,0.010187292140731665,0.9179686868466483,1.503376231040309,0.28575185347195425,0.21900677226085613,0.028858807457190914,54.089545297203756,2.071198897412787,14.973398
SAR,511.png,1,0.00013400186150428622,36.99227403030449,0.0,0.019230769230769232,0.41783919087103505,0.16823232434384217,0.2751696525884351,0.30551523851011103,0.03937328441183519,52.07447774791976,2.0945780827792024,14.66921
SAR,362.png,10,0.3255892246422718,2.6062404337394955,0.026178231529201818,0.05754461975778789,0.8034929665111841,1.12540758663144,0.3644607672507851,0.8748456106503779,0.12176063804705455,96.24246024042114,3.0665290163807195,23.425825
SAR,446.png,5,0.20838461012499465,4.503827115027124,0.04674621694376046,0.04165697534155101,0.4813461966174546,0.24792247335617085,0.259669369076991,0.4810320512949059,0.05737889886579099,111.97986948508651,3.034960334705004,28.222736
SAR,446.png,2,0.009779062926449367,1.6672031305160298,0.051858824060386326,0.05031167519587828,0.3953335168778226,0.23892179784819123,0.25555868534468357,0.26085391117861434,0.03233701156280848,90.97719873685091,2.580208858177224,21.382774
SAR,446.png,1,0.000802933627335703,11.21812399116475,0.0,0.08830068819481207,0.21721223899882283,0.5974294172566119,0.22900588678759318,0.19599628057823953,0.021962225994019903,117.53200697426149,2.9567428578244783,29.059582
SAR,446.png,1,0.0029292309142192607,13.166782260047933,0.0,0.07039189022128818,0.36364149208665025,0.1167303567635809,0.24959082733312699,0.39508453295806306,0.04756782046619557,90.92044598282894,2.610111246649972,21.684385
SAR,446.png,1,0.00017808640863897773,43.508571090354664,0.0,0.013538461538461537,0.28462813229479295,-0.08207187262182192,0.25868256582368554,0.3981462600691796,0.04684262547177775,125.07455494246582,3.094486937158249,28.795012
SAR,s1a-iw-grd-vv-20180924t114356-20180924t114421-023840-0299f9-001.png,9,0.4199517734278686,2.247286263711256,0.0347090997633756,0.049923117945797055,0.7687031520151133,1.141918207125152,0.24193379276698504,1.194834009631197,0.1065611817929431,42.328369335396964,1.9062418703137018,9.816905
SAR,s1a-iw-grd-vv-20180924t114356-20180924t114421-023840-0299f9-001.png,1,0.0011223155430830078,35.737241345660195,0.0,0.027676724445395536,0.14111278796282453,-0.13883737445065414,0.2462500701321484,0.10336158201029012,0.01311302338610886,29.54559503378925,1.148762346316791,8.319564
SAR,46.png,13,0.491284929851318,2.2912347713321757,0.04058681025909132,0.04974194481379117,0.17195336287808324,-0.4596888842270458,0.2576408620021327,0.3201466093455216,0.04210610896778491,160.2525264098942,3.3069222984340403,42.738213
SAR,46.png,1,0.0018441707184856104,11.208216188887986,0.0,0.08853926363384701,0.001090692095230754,-0.9683341596358401,0.25868488942768425,0.688433124231913,0.08489952854650709,188.91037983941493,3.283219784511465,41.596874
SAR,46.png,2,0.0048448889629169045,7.174605775746527,0.06425457720267631,0.0338932854042524,0.44757318338067,0.06276674657879977,0.2714781040979643,0.386719271859123,0.048896038212819556,142.08331036716748,3.265133308051935,34.660522
SAR,522.png,1,0.08567620691837874,9.894750974575643,0.0,0.10106364428945072,1.0241397081843697,1.94973299098503,0.36111189612530414,0.025824644029448954,0.0044430271175750005,86.31195689517436,2.662176723367659,24.5042
SAR,522.png,1,0.032898902122498797,14.428645178336367,0.0,0.0693065726426182,0.3179661932794321,-0.025238210125677174,0.29966445764962557,0.07220882317382642,0.011045570406841834,76.0248690374552,2.1010580791031477,16.674784
SAR,s1a-iw-grd-vv-20160522t215630-20160522t215644-011377-01148d-001.png,2,0.009065346172001498,6.550651252209304,0.02308894696785525,0.015425551382157685,0.23785608935648095,0.3607069974743382,0.17203104415828285,0.572323173842897,0.04720522714175373,60.52507444004651,1.944421266921089,13.327255
SAR,s1a-iw-grd-vv-20160522t215630-20160522t215644-011377-01148d-001.png,5,0.07512434597826179,4.515549070696282,0.023167753381250072,0.03477302797293824,0.36909523122844623,0.21555601508045408,0.20819340458014154,0.963557143864801,0.09309656358773356,74.30592300385646,2.584691863713217,19.457111
SAR,121.png,20,0.42225207717087443,2.7832871024079915,0.029699017900852595,0.055874524168331594,0.9147585195428093,1.3692380914425453,0.3345370321656719,0.9669714082970036,0.1145233578043426,54.626696149483905,2.1395701867199133,11.404146
SAR,121.png,1,0.001460208789737516,12.234693939812118,0.0,0.0680569630380287,0.7361624200315391,0.7722636837740917,0.3342194375228341,0.8170310897449248,0.11346321225997305,54.97842858202127,2.1301423945281437,12.412463
SAR,121.png,8,0.08750092640129736,8.676737650468766,0.021557310722742418,0.04114872198569791,0.7897272951621354,1.018507318705471,0.32903722182528744,0.6649570453183741,0.09215265097731207,58.79645232772075,2.1629770659047405,13.506439
SAR,121.png,1,0.0011016503608670264,14.612185393469511,0.0,0.056992365508670186,0.5809917520162325,0.4879340520625286,0.2999403719647715,0.8193596840261632,0.10854300757995024,63.18044230115191,2.1818724218282965,14.071389
SAR,611.png,1,0.027818288972422778,23.954597541807335,0.0,0.029605216082156733,0.47943802260691193,0.545056955540208,0.2629778876679215,0.7421594031509746,0.08695447015076414,89.96613913792748,2.929673949067701,24.392412
SAR,611.png,4,0.12165893220134372,2.961549737121972,0.048563711115119125,0.03403032639794012,0.4050183045345402,0.26381613419297134,0.25097690366294895,0.5252297673169316,0.06124131522279096,86.81202301012387,2.7026786501134725,22.065273
SAR,611.png,1,0.0003001536071709082,43.23956624689935,0.0,0.013299044819985307,0.19319984595540193,-0.13219175386879334,0.23498908773270594,0.38220017058467387,0.04564320085292739,92.80592029559534,2.686861631926875,23.612217
SAR,s1a-iw-grd-vv-20180220t114257-20180220t114322-020690-023709-001.png,14,0.18575623363167537,4.127936319799525,0.015074374331854953,0.04061993784264804,0.7497626130770921,1.0737734585055536,0.25674851365011886,0.6847186243058027,0.07442703072010282,79.36747585977334,2.5186551721071937,18.246218
SAR,s1a-iw-grd-vv-20180220t114257-20180220t114322-020690-023709-001.png,9,0.09997006937362762,4.081953131487436,0.023066900249108332,0.0353603798741162,0.20120028872399776,-0.17469620463208665,0.20088937198319592,0.6936648655315547,0.06161418187151847,118.08928278396709,3.0570427526009514,27.610752
SAR,169.png,3,0.036908706563560045,8.633222128281897,0.09446919292900222,0.03474008252193359,0.558166117163765,0.37608004196557115,0.27553359365582286,0.44058450439063385,0.053978662967533585,45.05519103429143,1.842998202644134,11.211872
SAR,169.png,7,0.30159550979110605,3.7841797246377444,0.05551964450640479,0.05405104620860115,0.6934636371627911,0.7606407454628028,0.31141251619030014,0.641893811923408,0.08039326794198362,50.15663109161016,2.0886153383084953,12.664765
SAR,169.png,1,0.0025953245725674617,17.52873205530352,0.0,0.04996544719703474,0.574678263189049,0.4314372836707512,0.27703168183174404,0.4246571812588519,0.05356216867865111,56.60496408284022,2.0965409275218883,13.9178705
SAR,169.png,1,0.0013923989093800673,35.90167406639669,0.0,0.027223472852836817,0.7462233071717664,1.360268827226057,0.2859288100125376,0.6428924912082625,0.07989226943679996,45.666028160689265,1.9454691425271462,11.816214
SAR,169.png,1,0.000839424150381185,27.166612461451887,0.0,0.023961861748839547,0.5749817292731099,0.5659805682656214,0.276556856327448,0.342559182282843,0.042353443384812,49.730339660189046,1.9680310143856006,12.272451
SAR,169.png,2,0.009555907766212512,10.412583140565264,0.11342519519275462,0.05158233485673304,0.28526378467935776,0.007799284121502437,0.2854562347503729,0.27405742876423256,0.03740567387095168,34.972793373004826,1.4373004876165751,9.194349
SAR,169.png,1,0.0010518053789886905,23.728133606116934,0.0,0.040619029423003446,0.538203361944998,0.4503405545452863,0.29747792274836904,0.48543442552236327,0.0635809956691593,41.912361760854644,1.885560476738717,11.542513
SAR,169.png,2,0.019960479126656105,2.888812282413306,0.06476319694139221,0.02746161242086256,0.7004471381622692,0.7073021953098151,0.3029480930907617,0.6315058528015169,0.08209958168838263,52.20272305954745,2.1435002289454044,13.750257
SAR,169.png,2,0.010193824968145027,4.964822379666155,0.09146047762472588,0.032514717211117344,0.4201825571480253,0.2028145246722115,0.27185360357340066,0.5523979856744289,0.08415365005059595,57.44399495639824,1.943493213456014,15.04837
SAR,169.png,2,0.003578136365880946,4.313978332000322,0.019389072353878937,0.03839552707653622,0.470506838583041,0.2904672001255839,0.2753151811844671,0.4648828375798112,0.05762208149945569,49.13950551804355,1.8563296003859149,11.676205
SAR,169.png,1,0.007064818660117211,4.281045876875867,0.0,0.5478479514864665,0.6439733581681726,-0.1805647508017021,0.5522941392823362,1.0141561012576745,0.2734325471377311,136.72953232289566,3.636133302578663,42.29049
SAR,361.png,11,0.3100621876203391,3.3733414753654904,0.025782489199128247,0.04884939666696744,0.9698698808584937,1.392131915035947,0.4488479599541406,1.008992342375375,0.16746010983048562,80.43665573875765,2.998237721549243,21.311823
SAR,361.png,1,0.0006257581176074972,14.642834434081687,0.0,0.06786011656952541,1.0646325226620286,1.5915572118676957,0.43924287541507046,1.0970117816291853,0.16798220608019246,87.31048555562876,2.5859102854746925,14.917435
SAR,612.png,1,0.08484554601548311,13.412128237971572,0.0,0.07455937085423936,0.5335838407751655,0.5049156188320874,0.2683583166311378,0.562308185201088,0.06955445019552496,88.83111431675276,2.818808031321602,23.862497
SAR,612.png,1,0.013970882339353174,17.893372636021073,0.0,0.05128166005492829,0.454921491252935,0.15364851599852125,0.2565773445399894,0.42867997586839257,0.05100473311925614,91.99743731906051,2.8201786814326706,24.128975
SAR,612.png,1,0.00019073485996822306,24.999912033430338,0.0,0.039999999999999994,0.3190912014207027,-0.15649974370080733,0.25370047402264967,0.3100794145733405,0.036981722873514415,106.92277110856678,2.939024530135346,27.07396
SAR,612.png,1,0.00021167000564148442,27.129444164535965,0.0,0.029875518672199168,0.051512129945593996,-0.09537875192176104,0.23675102408818485,0.24933140803121034,0.02952234316852327,105.19021913598843,2.833526380142279,26.742163
SAR,s1a-iw-grd-vv-20190806t214923-20190806t214948-028454-03372e-001.png,1,0.007451955753630557,9.539995474984543,0.0,0.10463478435844122,0.573622188497378,0.4731155776948035,0.21947732122982924,0.7771332054031787,0.07155033951327876,53.316973570632776,2.218947536618561,14.035356
SAR,s1a-iw-grd-vv-20190806t214923-20190806t214948-028454-03372e-001.png,1,0.0006947204573306137,9.918041939223052,0.0,0.09979238754325259,1.0140348041585765,1.6917204966264352,0.21019360583990562,0.49923828011327825,0.05327832494402304,43.59904780600367,1.6579918530836681,11.757213
SAR,10.png,2,0.20939160643899868,5.538915437931816,0.2366806412480947,0.0711293546027135,0.5920599530119076,0.41200562960729314,0.30174792584705334,0.9165352808711764,0.12462228052993728,51.98429967607653,2.3341755687226855,16.848312
SAR,10.png,22,0.27301810095050527,3.1622360819784423,0.010956225581039808,0.057508851681640175,0.7451522269469563,0.9868155137884734,0.2982544849823479,0.720039569338877,0.08550602506231421,68.21687690880518,2.430438797706872,16.358622
SAR,10.png,1,0.0005132021240909779,16.87497032833806,0.0,0.052196894615130496,1.2556777850947856,2.34005281738051,0.34937949851753525,0.832390592786259,0.09838904300018439,68.89332268637787,2.4818356671999644,14.533014
SAR,415.png,17,0.3352048054797798,3.1087375039313287,0.017745481003486947,0.04989038266657851,0.23207145151184405,-0.01137492124119663,0.24562540394731763,0.4164238244797949,0.05424391712192162,107.53732986162412,2.987422657158041,33.996777
SAR,s1a-iw-grd-vv-20200310t115114-20200310t115142-031613-03a4a2-001.png,5,0.0558639971204693,5.248987492022109,0.02477737382158927,0.04888237746998019,0.5123562726667842,0.8295811189920524,0.17622176741945406,0.41105082579336266,0.035260039296056575,16.43668305055284,0.43059670848742826,4.0721064
